url,type
http://www.hebergement-discounter.com/gestion/getproductrequest.htm,phishing
http://www.angelfire.com/pa/quas/login.html/,phishing
http://www.angelfire.com/ex2/login.yahoo.com.conf/eval_profile.src_ym.intl_us.done_http.us.f415.mail.yahoo.com.ym.OptionsYY_45583._login_verify2.html,phishing
http://www.angelfire.com/ultra/neopetsloginform/,phishing
http://www.angelfire.com/ex2/login.yahoo.com.conf/eval_profile.src_ym.intl_us.done_http.us.f415.mail.yahoo.com.ym.OptionsYY_45583._login_verify2.html/,phishing
http://www.saequity.com/wp-includes/SimplePie/XML/~/DHL/tracking.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID&userid=,phishing
http://www.saequity.com/wp-includes/SimplePie/XML/~/DHL/index.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID,phishing
http://www.lojasnofacebook.com.br/wp-admin/css/colors/blue/13757939346baca144367132c8a78027/?email=abuse@asiatic.com.tw,phishing
http://www.communitypartnersjc.org/wp-admin/js/index/,phishing
http://kiltonmotor.com/others/m.i.php?fid=4&amp,phishing
http://www.pcbc.org.nz/active/libraries/joomla/cache/storage/appcloudshrdocs/Gdoc/,phishing
http://www.lederair.net/chasebank/www.chase.com,phishing
http://www.lederair.net/chasebank/www.chase.com/,phishing
http://staffkita.blogspot.ae/index.html,phishing
http://www.carmo-ekb.kz/wp-content/languages/login.yahoo.com/login.htm,phishing
http://www.adamdennis.info/wp-includes/mailbox/index.php?rand=13InboxLightaspxn.1774256418&amp,phishing
http://www.hofstetterfam.com/Scripts/an/dhl/webshipping_dhl_woko_members_modulekey_displaycountrylist_id5482210003804452/,phishing
http://nops2sign.com/wp-wellsfargo/login.php?cmd=login_submit&amp,phishing
http://www.storybookalpacas.com/account4/index2.html,phishing
http://www.maxlines.com/wp-admin/Re-validate/index.php,phishing
http://www.maxlines.com/wp-admin/Re-validate/index.htm,phishing
http://www.karafarms.co.nz/eclou/contactform.php,phishing
http://www.saequity.com/wp-includes/SimplePie/XML/~/DHL/tracking2.php,phishing
http://www.heurica.dk/duc1/dropboxlocation/,phishing
http://custom.gtm.idmanagedsolutions.com/custom/usaa-com/html-events.asp?symb=HEQ&amp,phishing
http://www.hofstetterfam.com/Scripts/an/dhl/webshipping_dhl_woko_members_modulekey_displaycountrylist_id5482210003804452/validemail.html,phishing
http://www.motorati.co.nz/crayi/drive/drive/auth/view/share/,phishing
http://www.magazin-fermier.ro/vqmod/GoogleDoc/,phishing
http://www.saequity.com/wp-includes/SimplePie/XML/~/DHL/tracking2.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID&amp,phishing
http://www.portcanaveraltransport.com/wp-content/mu.php,phishing
http://www.oskabilgisayar.com/_app/HOTMAILFILES/login.srf.htm,phishing
http://www.uniformesescolares.com.ec/modules/gtex/,phishing
http://www.damianstarr.com/eim.ae/index.html,phishing
http://www.angelfire.com/film/filatm/Yahoo__Mail.htm,phishing
http://www.angelfire.com/vt/thachsaigon/home/yahoomail.htm,phishing
http://www.angelfire.com/oh5/blue_dragon214/sdfhgsdfgh.html,phishing
http://www.benefitauctionevents.net/templates/beez_20/fonts/loc/,phishing
http://www.taylortea.com/wp-content/plugins/akismet/cehe/error.php,phishing
http://www.taylortea.com/wp-content/plugins/akismet/cehe/sis.htm,phishing
http://brainshineacademy.com/update/Account/websc-login.php?Go=_Restore_Start&amp,phishing
http://taylortea.com/wp-content/plugins/akismet/cehe/details.php?LOB=RBGLogon&amp,phishing
http://www.czaragroup.com/admin/css/excel/index.php?email=abuse@com.com,phishing
http://www.compshipbroker.com/dropbox/form.php,phishing
http://www.gazellehealthcare.com/cfg-form-9/upload/service/costumer/information/check/2a150dcba0bb756931b450575509603a/index/web/34772f08b498d7d8055310d2cd5ae774/information.php,phishing
http://www.gazellehealthcare.com/cfg-form-9/upload/service/costumer/information/check/0d0837e77dbf85a85f5890de01fdee79/index/web/23ff167440188a4bdee3bc8421a1f077/confirmed.php,phishing
http://www.leleolahan.com/foto_produk/alibaba/trustpass.html,phishing
http://www.ezeebookkeeping.com.au/classes/Gdoccc/,phishing
http://www-paypal.com.websapphome.com-webswebsrcs.com/webapps/73675/websrc,phishing
http://imtsinstitute.com/payepl-account-security/?tit=payepl-account-security&amp,phishing
http://www.wugin.com/user/ids/samris.php,phishing
http://www.baghira-wupperwolf.de/components/com_banners/bbtonline/,phishing
http://www.baghira-wupperwolf.de/components/com_banners/bbtonline,phishing
http://www.baghira-wupperwolf.de/images/banners/bbtonline,phishing
http://www.aronnaibaho.com/wp-includes/dec/googledoc/wr/cd/,phishing
http://www.humantechnology.mx/humantechnology/wp-admin/user/index6.php,phishing
http://www.buildanddecor.com/media/import/g-doc-secure/gtexx/,phishing
http://www.mprmoldes.com/templates/beez3/css/dropbox/dropbox/,phishing
https://imtsinstitute.com/payepl-account-security,phishing
http://www.cazare-sarmizegetusa.ro/wp-admin/user/chase/home/auth/imgs/chaseonline.chase.com/,phishing
http://www.portalessantiago.cl/drive/auth/view/share/,phishing
http://www.gadianelectrical.com.au/classes/admin/dropbox/,phishing
http://www.mprmoldes.com/administrator/components/dropbox/,phishing
https://bitly.com/1sHXxfX,phishing
http://www.thenewwrold.net/JAMGD/verification.php,phishing
https://docs.google.com/document/d/1LZRzGenmqvTF3fv8UGCcjzjaeM7_2bqOXtRN0yi-piQ/pub,phishing
http://laika.it/pdf/100buonimotivi/index..php,phishing
http://handmasz.pl/views/plugins/cache/?rand=13InboxLightaspxn.1774256418&amp,phishing
http://www.gcsofusa.org/zml/tonline/,phishing
http://www.manaderf.com/Support/71845/dir/car.php?cmd=_account-details&amp,phishing
http://www.drucker.com.ar/inc/aaa.htm,phishing
http://ow.ly/LWIf300KC11,phishing
http://rocksoil.pe/Documento33/Googledocument23KB/Googledrives/Googledrivess/Googledocumenttos/Googledocumento478/,phishing
http://bluga.com.ar/fran/googledocs/index.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&amp,phishing
http://gcsofusa.org/zml/tonline/extend.php?rand=13InboxLightaspxn.1774256418&amp,phishing
http://manaderf.com/Support/e386d/dir/log.php?cmd=_account-details&amp,phishing
http://manaderf.com/Support/71845/dir/log.php?cmd=_account-details&amp,phishing
http://manaderf.com/Support/71845/dir/col.php,phishing
http://www.intelligence-informatique.fr.nf/SAMI/JAVA/index.html,phishing
http://www.herbadicas.com.br/images/aos/aos/index.htm,phishing
http://www.radiosalette.com.br/modules/mod_custom/mes/login.php,phishing
http://www.iacwindow.com/psp/psp/note/,phishing
http://www.gcsofusa.org/zml/tonline/extend.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&login=&loginID=&.rand=13InboxLight.aspx?n=1774256418&fid=4#n=1252899642&fid=1&fav=1,phishing
http://www.communitypartnersjc.org/wp-admin/images/index/,phishing
http://www.stratolinux.com/templates/atomic/css/blueprint/srd/templates/total/www/box.com/,phishing
